gender,tenth_board,tenth_marks,twelfth_board,twelfth_marks,Stream,cgpa,cgpa_category,internship,training,has_backlogs,project,communication_score,communication,technical_score,skill_score,placement
Female,State Board,96.7,CBSE,70.2,Mechanical Engineering,7.37,Average,0,1,0,0,3,Average,1,5,0
Female,WBBSE,96.2,WBCHSE,90.6,Electronics and Communication Engineering,9.35,High,0,0,0,1,4,Good,0,5,0
Male,State Board,97.5,CBSE,69.6,Information Technology,7.84,High,0,1,0,1,3,Average,1,6,1
Female,CBSE,96.9,Other state Board,77.6,Computer Science in AIML,7.87,High,1,0,1,1,2,Below Average,1,5,0
Female,ICSE,99.1,CBSE,62.8,Computer Science and Engineering,9.26,High,1,1,0,1,1,Poor,1,5,0
Male,CBSE,85.5,CBSE,86,Computer Science and Engineering,9.2,High,1,0,0,1,2,Below Average,1,5,0
Male,State Board,98.2,CBSE,83.4,Computer Science and Engineering,8.83,High,1,1,1,1,2,Below Average,1,6,0
Male,State Board,79.4,Diploma,82.1,Production Engineering,7.52,High,1,0,0,1,3,Average,1,6,1
Male,WBBSE,88,Other state Board,83.2,Computer Science in AIML,7.06,Average,0,0,0,1,3,Average,1,5,1
Female,CBSE,84.3,CBSE,70.9,Civil Engineering,7.34,Average,0,0,0,0,3,Average,1,4,0
Male,ICSE,84.1,Other state Board,67.9,Computer Science and Engineering,7.12,Average,0,0,1,0,1,Poor,0,1,0
Female,State Board,97.8,ISE,95,Computer Science and Engineering,8.87,High,1,1,0,1,4,Good,1,8,0
Male,ICSE,83,CBSE,79.8,Computer Science and Engineering,7.13,Average,1,0,0,0,4,Good,1,6,0
Female,CBSE,78.5,Other state Board,62,Mechanical Engineering,7.18,Average,1,1,0,1,1,Poor,1,5,1
Male,WBBSE,95.9,CBSE,73.2,Information Technology,9.14,High,1,1,1,1,1,Poor,1,5,0
Male,WBBSE,75,Other state Board,68.9,Electronics and Communication Engineering,7.58,High,0,0,0,1,4,Good,1,6,1
Female,WBBSE,89.8,CBSE,88.6,Computer Science and Engineering,7.66,High,1,1,0,1,5,Excellent,1,9,1
Male,ICSE,93.6,WBCHSE,87.6,Computer Science and Engineering,8.92,High,1,0,0,0,3,Average,0,4,0
Male,CBSE,87.4,ISE,80.2,Computer Science and Engineering,7.17,Average,1,1,0,0,4,Good,1,7,0
Female,WBBSE,96.3,CBSE,78,Electrical Engineering,7.51,High,0,1,0,1,1,Poor,1,4,1
Male,State Board,82.4,Other state Board,77.3,Mechanical Engineering,8.97,High,0,1,0,1,2,Below Average,1,5,1
Female,ICSE,87.6,ISE,88.9,Electrical Engineering,8.79,High,0,0,0,0,4,Good,1,5,0
Male,ICSE,76.9,CBSE,68.2,Electrical Engineering,8.1,High,1,1,0,1,5,Excellent,1,9,1
Male,ICSE,72.8,Other state Board,87.2,Electrical Engineering,7.08,Average,0,0,1,0,4,Good,1,5,0
Female,State Board,98.2,CBSE,68.1,Civil Engineering,7.79,High,0,1,0,1,1,Poor,1,4,1
Female,WBBSE,89.3,CBSE,71.2,Electronics and Communication Engineering,7.78,High,1,1,0,1,1,Poor,1,5,1
Male,CBSE,90.2,CBSE,77.2,Civil Engineering,7.22,Average,0,0,0,1,1,Poor,1,3,1
Female,WBBSE,77.9,CBSE,80.1,Computer Science and Engineering,8.84,High,1,1,1,0,4,Good,1,7,0
Female,WBBSE,98.5,Other state Board,84.2,Computer Science and Engineering,9.37,High,1,0,0,1,4,Good,1,7,0
Female,WBBSE,72.2,WBCHSE,93.7,Electronics and Communication Engineering,8.98,High,1,1,0,0,5,Excellent,0,7,0
Male,ICSE,93.4,ISE,92.2,Computer Science and Engineering,8.85,High,1,0,0,1,4,Good,1,7,1
Female,ICSE,85.6,ISE,86.4,Computer Science and Engineering,7.8,High,1,1,0,1,4,Good,0,7,0
Male,ICSE,94.6,ISE,79.6,Computer Science in Data Science,9.26,High,1,0,0,1,3,Average,1,6,1
Female,WBBSE,79.6,CBSE,74.1,Mechanical Engineering,7.01,Average,0,1,0,1,5,Excellent,1,8,1
Male,CBSE,73.8,CBSE,73.4,Civil Engineering,8.87,High,0,1,0,1,5,Excellent,0,7,0
